hero,ability_name,ability_icon,ability_description,source_url,counter,Weaknesses,Counters (prefered Heros)
Devil Dinosaur,Primal Bite,https://r.res.easebar.com/pic/20260514/115176f7-366a-4c84-a53e-5cb01ce83315.png,Bite forward. Applies a Bleed that deals continuous Percentage Damage,https://www.marvelrivals.com/20260514/41360_1300391.html,,,
Devil Dinosaur,Impact Beam,https://r.res.easebar.com/pic/20260514/8deeb802-0265-45e5-8ea0-8ac836bf938e.png,Unleash a devastating beam of energy that inflicts a Bleed and Slow. Knocks Down airborne targets,https://www.marvelrivals.com/20260514/41360_1300391.html,,,
Devil Dinosaur,Buddy Barrier,https://r.res.easebar.com/pic/20260514/5262ea98-9407-49e5-92c3-4630ededb30d.png,Activate the heart-shaped generator to expand a spherical shield that blocks incoming damage. Enemies caught within are Slowed,https://www.marvelrivals.com/20260514/41360_1300391.html,,,
Devil Dinosaur,Savage Predation,https://r.res.easebar.com/pic/20260514/d5b729a9-bd0a-4e51-9bd4-a4bf2b40b5ef.png,"Dash and pounce on your prey with a vicious bite, applying a Bleed. If the target is already Bleeding, clamp down before hurling them away",https://www.marvelrivals.com/20260514/41360_1300391.html,,,
Devil Dinosaur,Frenzied Feast,https://r.res.easebar.com/pic/20260514/e3644601-c665-47c0-b70b-eff7718330c8.png,"Unleash a flurry of continuous bites, converting the damage dealt into Bonus Health. Deals extra damage against Bleeding targets",https://www.marvelrivals.com/20260514/41360_1300391.html,,,
Devil Dinosaur,Prehistoric Plating,https://r.res.easebar.com/pic/20260514/c9b874b3-dde9-4453-9fb8-e49f5ecdec9d.png,"Take reduced damage from headshots. Immune to launch-up, knock-back, and other displacement effects. Enemies and allies generate less Ultimate Ability Energy when damaging or healing him",https://www.marvelrivals.com/20260514/41360_1300391.html,"Phoenix - Telekinesis Burst, Mantis - Spore Slumber, Luna Snow - Ice Arts, Emma Frost - Carbon Crush, Squirrel Girl - Squirrel Blockade, Spider-Man - Get Over Here!, Black Widow - Electro-Plasma Explosion, Black Widow - Edge Dancer, Wolverine - Feral Leap, Scarlet Witch - Dark Seal, Winter Soldier - Bionic Hook, Hela - Soul Drainer, Devil Dinosaur - Savage Predation, Peni Parker - Spider-Sweeper, Peni Parker - Bionic Spider-Nest, Peni Parker - Arachno-Mine, Peni Parker - Cyber-Web Snare, ",,
Devil Dinosaur,Apex Advantage,https://r.res.easebar.com/pic/20260515/750da25f-7267-479e-9161-ad9109a5209c.png,Gain Bonus Health when you inflict Bleeding upon an enemy,https://www.marvelrivals.com/20260514/41360_1300391.html,,,
Devil Dinosaur,Devil-Beast Rampage,https://r.res.easebar.com/pic/20260514/6acd3e0f-759b-44c1-b1bc-b42dd520aa74.png,Erupt in primal fury! Gain a massive Movement Speed Boost while unleashing earth-shattering stomps that Launch enemies and applies a Bleed. Thunderous roars also emit sonic waves that Slow enemies hit,https://www.marvelrivals.com/20260514/41360_1300391.html,,,
Devil Dinosaur,Prehistoric Partner,https://r.res.easebar.com/pic/20260514/f043428e-f28d-45a2-9ea9-54f04059d9aa.png,"The Punisher rides atop Devil Dinosaur, restricting him to only Adjudication/Deliverance and Scourge Grenade while disabling other abilities. While mounted, Devil Dinosaur absorbs a portion of all damage inflicted on The Punisher",https://www.marvelrivals.com/20260514/41360_1300391.html,,,
Black Cat,FELINE FURY,https://r.res.easebar.com/pic/20260416/b418cfa2-f3dd-4eae-b205-967e67831cf7.png,Swipe forward with razor-sharp claws,https://www.marvelrivals.com/20260416/41360_1296480.html,"Namor - Aquatic Dominion,",,
Black Cat,CALLING CARD,https://r.res.easebar.com/pic/20260416/c1b8429e-cbce-4c01-ad81-b1255d6ddbb8.png,"Issue a Calling Card to all enemies. Instantly dash to any enemy in sight and range, tearing into them with your claws to deal Percentage Damage",https://www.marvelrivals.com/20260416/41360_1296480.html,"Emma Frost - Carbon Crush, Emma Frost - Psionic Seduction, Cloak&Dagger - Eternal Bond, Cloak&Dagger - Terror Cape, Cloak&Dagger - Dark Teleportation, Psylocke - Dance of the Butterfly, Psylocke - Psychic Stealth, Namor - Horn of Proteus, Captain America - Freedom Charge, Rocket Raccon - C.Y.A., Jeff the Land Shark - It's Jeff!, Luna Snow - Ice Arts, Rocket Raccoon - C.Y.A., Invisible Woman - Invisible Boundary, Invisible Woman - Covert Advance, Invisible Woman - Veiled Step, Loki - Regeneration Domain, Peni Parker - Spider-Sweeper, Peni Parker - Bionic Spider-Nest, Peni Parker - Arachno-Mine, Peni Parker - Cyber-Web Snare,",,
Black Cat,CAT'S CRADLE,https://r.res.easebar.com/pic/20260416/0724214f-fa9d-4530-803b-02b40f0b9af7.png,"Lunge forward with claws bared, slicing through any enemies caught in your path",https://www.marvelrivals.com/20260416/41360_1296480.html,"Mister Fantastic - Distended Grip, Winter Soldier - Trooper's Fist, Winter Soldier - Bionic Hook, Spider-man - Get Over Here!, Storm - Goddess Boost, Peni Parker - Cyber-Web Snare, Thor - Storm Surge,",,
Black Cat,TURN OF FORTUNE,https://r.res.easebar.com/pic/20260416/46a0da80-3314-466d-aab1-41bc525fc793.png,Launch a grappling hook forward that damages an enemy on impact and steals Fortunebefore pulling it back to Black Cat,https://www.marvelrivals.com/20260416/41360_1296480.html,,,
Black Cat,THIEVING GRACE,https://r.res.easebar.com/pic/20260416/331db52b-ea1e-4d74-a4c7-c27fa17ec1a5.png,Perform a double jump,https://www.marvelrivals.com/20260416/41360_1296480.html,Peni Parker - Cyber-Web Snare,,
Black Cat,FORTUNE'S FAVOR,https://r.res.easebar.com/pic/20260416/f20a3d87-0110-46b5-ae9c-e942746833cd.png,Spend Fortuneto unleash either Grapple Swipeor Phantom Pursuit,https://www.marvelrivals.com/20260416/41360_1296480.html,,,
Black Cat,STEALTHY CATWALK,https://r.res.easebar.com/pic/20260416/76e1a388-8bcd-40cb-b9b9-cbfea50d5264.png,Hold {Jump} to crawl up vertical surfaces,https://www.marvelrivals.com/20260416/41360_1296480.html,,,
Black Cat,MALKIN MISFORTUNE,https://r.res.easebar.com/pic/20260416/048b7e20-1062-44e0-9ae2-588cbb9d4fc8.png,Apply Jinxto enemies on hit. Jinxedfoes have a chance to lose their bonus damage when striking Black Cat with a Critical Hit,https://www.marvelrivals.com/20260416/41360_1296480.html,,,
Black Cat,GIFT OF GOLD,https://r.res.easebar.com/pic/20260416/dba9f061-232b-4cca-8797-cf61c520201e.png,"Black Cat shares items acquired from Insider Trading with White Fox and Captain America. White Fox receives the Life Orb, which restores Spirit Fox Tail energy and converts life energy into Nine-Tailed Radiance that auto-tracks nearby allies and enemies, granting allies speed and healing while dealing damage and slowing enemies. Captain America receives the Vibranium Energy Amplifier, which expands shield block range when raised and reflects projectiles back along the crosshair direction.",https://www.marvelrivals.com/20260416/41360_1296480.html,,,
Black Cat,CLAW WHIP,https://r.res.easebar.com/pic/20260416/5868fb3b-fb3d-4ed5-9907-0252b6687288.png,"Fire out tethered claws and whip them forward in a devastating arc, dealing damage to all enemies caught in range",https://www.marvelrivals.com/20260416/41360_1296480.html,,,
Black Cat,CALLING CARD,https://r.res.easebar.com/pic/20260416/542f0f37-1553-45e5-b794-9a5804088ccb.png,"Issue a Calling Card to all enemies. Instantly dash to any enemy in sight and range, tearing into them with your claws to deal Percentage Damage",https://www.marvelrivals.com/20260416/41360_1296480.html,,,
Black Cat,CAT'S CRADLE,https://r.res.easebar.com/pic/20260416/de907edd-e322-4e4b-b64d-26f1dd5bd08e.png,"Lunge forward with claws bared, slicing through any enemies caught in your path",https://www.marvelrivals.com/20260416/41360_1296480.html,,,
Black Cat,PHANTOM PURSUIT,https://r.res.easebar.com/pic/20260416/0f50962e-bc08-42a0-85db-7138a350d05f.png,"Swiftly dash to an enemy, unleash a rapid flurry of claw attacks, and flash back to your starting position. Black Cat is Untargetableduring this move",https://www.marvelrivals.com/20260416/41360_1296480.html,"Phoenix - Telepathic Illusion,",,
Black Cat,THIEVING GRACE,https://r.res.easebar.com/pic/20260416/db492550-ee00-49bd-b8f2-a8725012dbe1.png,Perform a double jump,https://www.marvelrivals.com/20260416/41360_1296480.html,,,
Black Cat,FORTUNE'S FAVOR,https://r.res.easebar.com/pic/20260416/aaaacbd7-f567-40c0-be49-494f0e6933db.png,Spend Fortuneto unleash either Grapple Swipeor Phantom Pursuit,https://www.marvelrivals.com/20260416/41360_1296480.html,,,
Black Cat,STEALTHY CATWALK,https://r.res.easebar.com/pic/20260416/cf0e15f3-6715-49c6-8313-9513eed6fa61.png,Hold {Jump} to crawl up vertical surfaces,https://www.marvelrivals.com/20260416/41360_1296480.html,"Winter Soldier - Trooper's Fist, Winter Soldier - Bionic Hook, Spider-man - Get Over Here!,",,
Black Cat,MALKIN MISFORTUNE,https://r.res.easebar.com/pic/20260416/f8475d37-2f3e-495d-8783-66a39a55e6a7.png,Apply Jinxto enemies on hit. Jinxedfoes have a chance to lose their bonus damage when striking Black Cat with a Critical Hit,https://www.marvelrivals.com/20260416/41360_1296480.html,,,
Black Cat,GILDED DEAL,https://r.res.easebar.com/pic/20260416/35b59c4e-01ea-4c4f-9321-2e378148df61.png,"Use the Spatial Resonator to open a portal to the Elder Gods' dimension, consuming Fortune to trade with the Golden Elder and acquire items from the New York Thieves Guild vault.",https://www.marvelrivals.com/20260416/41360_1296480.html,,,
Black Cat,TABLET OF DESTINIES,https://r.res.easebar.com/pic/20260416/ce5e92ec-444e-48f9-9a2e-73b4f86c07fe.png,Gain a random amount of Fortune,https://www.marvelrivals.com/20260416/41360_1296480.html,,,
Black Cat,HELM OF HADES,https://r.res.easebar.com/pic/20260416/b4507d88-ec34-4a0b-9303-96757d10cd5b.png,Enter Invisible state for a set duration,https://www.marvelrivals.com/20260416/41360_1296480.html,"Deadpool - Deadpool in Your Area, Star-Lord - Blaster Barrage, Thor - Lightning Realm, Magik - Eldritch Whirl, Rogue - Fatal Attraction, Spider-man - Spider-Sense, Jeff the Land Shark - Joyful Splash, Deadpool - Skill Issue - UPGRADED, Deadpool - THE BAN HAMMER - UPGRADED, Deadpool - Pwnage Pound - Upgraded, Squirrel Girl - Unbeatable Squirrel Tsunami,",,
Black Cat,FALTINE FLAME ORB,https://r.res.easebar.com/pic/20260416/004aee58-b3ee-436d-bbe7-41ef6c00b4d5.png,Conjure an orb of mystical Faltine Flame to Revealand mark all nearby enemies,https://www.marvelrivals.com/20260416/41360_1296480.html,"Rocket Raccoon - Bombard Mode, Loki - Deception, Invisible Woman - Invisible Boundary, - Invisible Woman - Covert Advance, Psylocke - Psychic Stealth, Black Cat - Helm of Hades,",,
Black Cat,CHERNOBOG'S CRYSTAL,https://r.res.easebar.com/pic/20260416/d7499d6e-8126-4d52-b3c5-649961da300b.png,"Purify yourself, instantly removing any active control effects",https://www.marvelrivals.com/20260416/41360_1296480.html,,,
Black Cat,RING OF ZONA,https://r.res.easebar.com/pic/20260416/37abc875-d763-4531-8095-c0d74aae0e22.png,"Open a portal on a surface, allowing instant traversal to the opposite side",https://www.marvelrivals.com/20260416/41360_1296480.html,,,
Black Cat,MENTO-FISH,https://r.res.easebar.com/pic/20260416/685beeba-23c2-457c-83a0-9beb64c100d9.png,"Create a hypnosis field. Inflicts Slow, disables movement abilities, and Groundsall enemies caught within",https://www.marvelrivals.com/20260416/41360_1296480.html,"Namor - Blessing of the Deep,",,
Black Cat,STICKY PAWS,https://r.res.easebar.com/pic/20260416/d1950ebc-6411-4006-93b9-c6db6b41ee45.png,Steal a set amount of Fortunewhenever your attacks hit an enemy,https://www.marvelrivals.com/20260416/41360_1296480.html,,,
White Fox,YEOWOO GUSEUL,https://r.res.easebar.com/pic/20260320/c58d434c-4789-4937-961d-d27e5a1f80ef.png,"Fire a Fox Marble forward that bounces off terrain or heroes, then homes in on nearby heroes. It damages enemies, heals allies, and restores Spirit Tail energy",https://www.marvelrivals.com/20260320/41360_1292187.html,"Hawkeye - Piercing Arrow, Hawkeye - Ronin Slash, Hulk - Indestructible Guard, Magneto - Iron Bullwark, Magneto - Metal Bulwark,",,
White Fox,CLAW STRIKE,https://r.res.easebar.com/pic/20260320/e738e469-d755-4bf3-93ae-0b5a252443ca.png,"While Awakened, slash forward with a flurry of attacks",https://www.marvelrivals.com/20260320/41360_1292187.html,"Peni Parker - Cyber-Web Snare,",,
White Fox,SPECTRAL SURGE,https://r.res.easebar.com/pic/20260320/19bc9c00-28b2-4cb5-810c-183a9635f49b.png,"Consume one Spirit Tail to send a spectral fox forward. It heals and grants invulnerability to allies it passes through, damages and Charms enemies, forcing foes to move toward White Fox",https://www.marvelrivals.com/20260320/41360_1292187.html,"Star-Lord - Stellar Shift, Magik - Stepping Discs, Iron Fist - Dragon's Defense, Hulk - HULK SMASH!, Hulk - Indestructible Guard, Magneto - Iron Bullwark, Magneto - Metal Bulwark, Hulk - World Breaker,","There is a sublte visual cone to let you know this move is about to hit, all you have to do is stay on the edge of the cone to avoid the charm effect of this abilty which will interupt your flow, or block it all together if possible. White Fox likes to wait to see you in a vunerable state before sending one of these out, so you need to plan account for this before making any commiting decisions to keep attacking or begin retreating.",
